Change Component Footprint: Designator=C106 Old Footprint=C1206FNPC-RW New Footprint=C0805FNPC-R
Change Component Comment : Designator=C106 Old Comment=C100n-10V-1206FNPC-X7R New Comment=C100n-50V-0805FNPC-X7R
Change Managed Component Library Link : Designator=C106 Old VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 New VaultGUID=082481D6-5331-4BED-BC73-1EE54992B059 Old ItemGUID=AEC3004A-0291-49E2-B199-699A122C2DA1 New ItemGUID=D7BF49DC-CB76-4E29-8477-89E104AFC2CC Old RevisionGUID=29C94B1A-9346-4BDD-B9B9-D4074FD82E1B New RevisionGUID=D816F7DC-C070-4FF8-99C5-C53C46EF18E4
Change component parameters: Designator = "C106" ("C106"); Footprint = "C1206FNPC-RW"; UniqueID = "\AJFHFKTS\KVMDSXEG" ("\AJFHFKTS\KVMDSXEG")
Change component parameters (AddParameter): Name = ".Creator"; Value = "DR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1958498.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1958498.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/1958498.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/1958498.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://katalog.we-online.de/pbs/datasheet/885012207098.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://katalog.we-online.de/pbs/datasheet/885012207098.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.farnell.com/datasheets/1958498.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.farnell.com/datasheets/1958498.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "C100n-50V-0805FNPC-X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.079inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Life (Hours)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Wurth Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "885012207098"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "100=0,10200, 500=0,07100, 2000=0,06100 (GBP)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "Passives.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "8000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Member To Class: ClassName=Level_Shifter Member=Component C201 C100n-50V-0805FNPC-X7R
Added Member To Class: ClassName=Level_Shifter Member=Component C202 C100n-50V-0805FNPC-X7R
